dl,cs,cs0,t0
(0.12501510574018126+0j),(0.6159820260633362+0j),(0.6427612872953209+8.249092294497526j),(0.08807811570886585+0j)
(0.1247647820457488+0j),(0.6270377172985363+0j),(0.6539675451957159+8.334601113718334j),(0.08888452387254511+0j)
(0.12451445835131636+0j),(0.6385125782337996+0j),(0.6655986505680268+8.422462777764554j),(0.08972090019214991+0j)
(0.1242641346568839+0j),(0.6504287537162539+0j),(0.6776769837533532+8.512774313347062j),(0.09058874359461129+0j)
(0.12401381096245147+0j),(0.6628099002565371+0j),(0.6902264503671808+8.605638133507545j),(0.09148965519221969+0j)
(0.12376348726801899+0j),(0.6756813128976252+0j),(0.7032726091609159+8.701162415626726j),(0.0924253471273045+0j)
(0.12351316357358653+0j),(0.6890700647553119+0j),(0.7168428126431158+8.799461511618286j),(0.09339765235005983+0j)
(0.1232628398791541+0j),(0.7030051607028671+0j),(0.7309663619421711+8.900656393540798j),(0.09440853544621433+0j)
(0.12301251618472163+0j),(0.7175177068680703+0j),(0.7456746775889825+9.00487513823415j),(0.09546010464818475+0j)
(0.12276219249028918+0j),(0.7326410978360012+0j),(0.7610014881246387+9.112253455012041j),(0.09655462518311754+0j)
(0.12251186879585672+0j),(0.7484112237103318+0j),(0.776983038698914+9.222935260922194j),(0.0976945341343263+0j)
(0.12226154510142426+0j),(0.7648666994855335+0j),(0.7936583221267429+9.337073308633162j),(0.09888245701971614+0j)
(0.1220112214069918+0j),(0.7820491195289742+0j),(0.8110693352182824+9.454829872626906j),(0.10012122632262307+0j)
(0.12176089771255934+0j),(0.8000033403740272+0j),(0.8292613636025155+9.576377500085274j),(0.1014139022480411+0j)
(0.12151057401812689+0j),(0.8187777954925708+0j),(0.8482832987341025+9.701899833666337j),(0.10276379602158983+0j)
(0.12126025032369443+0j),(0.8384248462596665+0j),(0.8681879913205003+9.831592514291309j),(0.10417449610124274+0j)
(0.121009926629262+0j),(0.8590011739590374+0j),(0.8890326460455343+9.965664173122665j),(0.10564989773449404+0j)
(0.12075960293482953+0j),(0.8805682184221792+0j),(0.9108792632136891+10.104337523130535j),(0.1071942363684727+0j)
(0.12050927924039705+0j),(0.9031926697673691+0j),(0.9337951338172954+10.247850562044022j),(0.10881212551016388+0j)
(0.12025895554596462+0j),(0.926947020732763+0j),(0.9578533955619398+10.396457900098879j),(0.11050859974172551+0j)
(0.12000863185153215+0j),(0.9519101883102455+0j),(0.9831336586039681+10.550432227856708j),(0.11228916372601928+0j)
(0.1197583081570997+0j),(0.9781682148215309+0j),(1.0097227111959015+10.710065941530452j),(0.11415984819519337+0j)
(0.11950798446266724+0j),(1.00581506028019+0j),(1.037715317146093+10.87567294575569j),(0.11612727410703151+0j)
(0.11925766076823478+0j),(1.0349534999091972+0j),(1.0672151190346542+11.04759065666134j),(0.11819872638824927+0j)
(0.11900733707380233+0j),(1.0656961431017333+0j),(1.0983356635573758+11.226182231489554j),(0.12038223897166453+0j)
(0.11875701337936986+0j),(1.098166593008759+0j),(1.1312015682787817+11.41183905498311j),(0.1226866931889391+0j)
(0.11850668968493741+0j),(1.1325007694158828+0j),(1.1659498525706462+11.604983517406918j),(0.1251219320201026+0j)
(0.11825636599050497+0j),(1.168848421766004+0j),(1.2027314597255025+11.806072124527727j),(0.12769889324827938+0j)
(0.11800604229607252+0j),(1.2073748642576116+0j),(1.2417130023310452+12.015598986299127j),(0.130429765252937+0j)
(0.11775571860164005+0j),(1.2482629711087483+0j),(1.2830787691789451+12.234099738579582j),(0.13332817003687955+0j)
(0.1175053949072076+0j),(1.2917154775834991+0j),(1.3270330395214975+12.462155961176325j),(0.13640937917307913+0j)
(0.11725507121277513+0j),(1.337957641562693+0j),(1.3738027597141798+12.700400166142705j),(0.139690569746428+0j)
(0.11700474751834268+0j),(1.3872403317225765+0j),(1.4236406486124795+12.94952144289898j),(0.1431911291451189+0j)
(0.11675442382391023+0j),(1.4398436223020827+0j),(1.4768288120667692+13.210271861816686j),(0.1469330198515619+0j)
(0.11650410012947776+0j),(1.4960809916797349+0j),(1.5336829641707936+13.483473755912419j),(0.15094121836324972+0j)
(0.11625377643504532+0j),(1.5563042434342766+0j),(1.5945573744597499+13.770028021861934j),(0.155244246272438+0j)
(0.11600345274061287+0j),(1.620909295380208+0j),(1.659850687178311+14.07092360742893j),(0.1598748166711874+0j)
(0.11575312904618042+0j),(1.6903430157498014+0j),(1.730012792551625+14.387248383531876j),(0.16487062587291437+0j)
(0.11550280535174795+0j),(1.765111328196642+0j),(1.8055529726594328+14.72020163667059j),(0.17027532958211705+0j)
(0.1152524816573155+0j),(1.8457888611966704+0j),(1.8870495986174727+15.07110846266007j),(0.17613975499247153+0j)
