dl,cs,cs0,t0
(0.12501510574018126+0j),(2.1898850433284527+0j),(2.192785338909278+26.967009824313195j),(0.08807859771033208+0j)
(0.12468040327234461+0j),(2.253100423573205+0j),(2.256007466165878+27.417678078214898j),(0.08916351444945259+0j)
(0.12434570080450798+0j),(2.3201746082522545+0j),(2.323089421749329+27.88786341876973j),(0.09030290345489801+0j)
(0.12401099833667131+0j),(2.391438582851811+0j),(2.394362244642617+28.378849557786598j),(0.0915004713021981+0j)
(0.12367629586883465+0j),(2.467256243118068+0j),(2.470189863013511+28.89203526730673j),(0.09276027764540075+0j)
(0.123341593400998+0j),(2.5480596535580498+0j),(2.5510045353274458+29.428947651858103j),(0.09408672470469641+0j)
(0.12300689093316135+0j),(2.6342796974084415+0j),(2.637237044295634+29.99125696618311j),(0.09548473419851275+0j)
(0.1226721884653247+0j),(2.7264446913714098+0j),(2.7294158664242136+30.580794082162814j),(0.09695964425900719+0j)
(0.12233748599748803+0j),(2.8251322756756525+0j),(2.8281187209340364+31.199570058076972j),(0.09851736920730164+0j)
(0.1220027835296514+0j),(2.9309947410206254+0j),(2.9339979911790985+31.849798896253727j),(0.10016444550677552+0j)
(0.12166808106181473+0j),(3.04476995412296+0j),(3.0477916464576897+32.53392376815341j),(0.10190811739287853+0j)
(0.12133337859397807+0j),(3.167295226339282+0j),(3.1703371112931786+33.25464740512931j),(0.10375643532931894+0j)
(0.1209986761261414+0j),(3.2995239960622373+0j),(3.302587949057279+34.0149674416654j),(0.1057183712281751+0j)
(0.12066397365830477+0j),(3.4425459124523496+0j),(3.445633947216915+34.81821767384008j),(0.1078039542428897+0j)
(0.1203292711904681+0j),(3.597611123472277+0j),(3.600725407155402+35.668116414593555j),(0.11002443387569921+0j)
(0.11999456872263145+0j),(3.7661598040715756+0j),(3.7693026744500435+36.56882340276152j),(0.11239293287644077+0j)
(0.1196598662547948+0j),(3.949858260233771+0j),(3.953032245372237+37.52500707200009j),(0.11492223066277975+0j)
(0.11932516378695815+0j),(4.150643341634665+0j),(4.1538511824292526+38.54192443061765j),(0.11763008197711666+0j)
(0.11899046131912151+0j),(4.370777427628827+0j),(4.374022103752603+39.62551637376281j),(0.1205343476271232+0j)
(0.11865575885128482+0j),(4.612916970700206+0j),(4.61620173057817+40.78252198514153j),(0.12365607372353454+0j)
(0.11832105638344818+0j),(4.880198563806626+0j),(4.88352695938364+42.02061634027817j),(0.12701940977608916+0j)
(0.11798635391561152+0j),(5.176347852611327+0j),(5.17972377984568+43.348577570355175j),(0.13065220586356063+0j)
(0.11765165144777488+0j),(5.505818501389378+0j),(5.509246247616282+44.77649058480498j),(0.13458674664202402+0j)
(0.11731694897993822+0j),(5.873971081791398+0j),(5.877455381365537+46.315997018478946j),(0.1388606654195904+0j)
(0.11698224651210157+0j),(6.287305548096688+0j),(6.290851648055144+47.98060385405508j),(0.14351809229148976+0j)
(0.11664754404426492+0j),(6.75376644347247+0j),(6.757380181375381+49.7860670307707j),(0.14861110894817145+0j)
(0.11631284157642827+0j),(7.283148007271639+0j),(7.28683590389726+51.75087154239244j),(0.15420160935574542+0j)
(0.1159781391085916+0j),(7.887638276769891+0j),(7.891407646983388+53.896836535084475j),(0.16036370353539542+0j)
(0.11564343664075494+0j),(8.58255926929805+0j),(8.586418355195605+56.24988338794124j),(0.16718685672897357+0j)
(0.1153087341729183+0j),(9.387387938231177+0j),(9.391346069583086+58.84101753328681j),(0.17478003709767365+0j)
(0.11497403170508164+0j),(10.3271857216299+0j),(10.331253509666334+61.7075918512131j),(0.1832772656635292+0j)
(0.114639329237245+0j),(11.434633170863938+0j),(11.438822742420543+64.89494183388432j),(0.19284514487478743+0j)
(0.11430462676940834+0j),(12.752977751804037+0j),(12.757303031393882+68.45851069819375j),(0.20369322365626052+0j)
(0.11396992430157167+0j),(14.340388304301907+0j),(14.34486535090274+72.46661414705407j),(0.21608849815877293+0j)
(0.11363522183373502+0j),(16.276524802452727+0j),(16.28117220361047+77.0040202308404j),(0.23037605170309078+0j)
(0.11330051936589837+0j),(18.67268084589885+0j),(18.67752015938014+82.17651047298959j),(0.24700898026539012+0j)
(0.11296581689806172+0j),(21.687835491873887+0j),(21.692891693554326+88.11646097969025j),(0.2665926308775053+0j)
(0.11263111443022505+0j),(25.55473924494401+0j),(25.560041065078202+94.98900798789548j),(0.2899513003648666+0j)
(0.11229641196238842+0j),(30.623487500417312+0j),(30.629067346763158+102.99691260010137j),(0.3182306776531169+0j)
(0.11196170949455175+0j),(37.43627848342695+0j),(37.442171204840264+112.37805911793797j),(0.3530573757916982+0j)
(0.11162700702671509+0j),(46.858512429302614+0j),(46.864751073949726+123.37759609056937j),(0.39678748734655095+0j)
(0.11129230455887842+0j),(60.31019843420534+0j),(60.31680237670479+136.14244902927618j),(0.4528795849004233+0j)
(0.11095760209104179+0j),(80.15879457817516+0j),(80.16573828868766+150.3869778237564j),(0.5263667942174547+0j)
(0.11062289962320512+0j),(110.26366929496862+0j),(110.27080262249973+164.4040303669971j),(0.6239954203722559+0j)
(0.11028819715536849+0j),(156.01717231489744+0j),(156.02402990237542+172.38773963084282j),(0.7516177023426858+0j)
(0.10995349468753184+0j),(220.18679270693184+0j),(220.19224130333967+159.06104979426573j),(0.8995311996378267+0j)
(0.10961879221969517+0j),(285.4990504913777+0j),(285.50119930676294+100.04039548708832j),(1.005663444355229+0j)
(0.10928408975185853+0j),(302.1533415747899+0j),(302.15119788173735-0.1101492842044962j),(0.9790492593714204+0j)
(0.10894938728402187+0j),(254.08682435083819+0j),(254.08216007461647-79.83038992667235j),(0.8437414305248682+0j)
(0.1086146848161852+0j),(189.70812974047445+0j),(189.70330824492274-107.9786921395385j),(0.6911299286353592+0j)
(0.10827998234834854+0j),(141.47567722477248+0j),(141.4717733513057-104.45938505788243j),(0.5643169739885048+0j)
(0.1079452798805119+0j),(112.46931215625793+0j),(112.46650344610343-89.57371297559858j),(0.46751581678597026+0j)
(0.10761057741267524+0j),(98.5323553035809+0j),(98.53045065748599-72.63342189345428j),(0.39434250407446636+0j)
(0.10727587494483859+0j),(96.83160268059758+0j),(96.83016297194439-57.953191959214635j),(0.3382164527871016+0j)
(0.10694117247700193+0j),(106.18611063405257+0j),(106.18426524362847-50.24073173974373j),(0.29434611298084223+0j)
(0.10660647000916529+0j),(122.28524695626334+0j),(122.28142388870113-57.999357595460154j),(0.2597207101120748+0j)
(0.10627176754132862+0j),(128.02109609667116+0j),(128.01382385471354-86.10693030183658j),(0.23258174207834637+0j)
(0.10593706507349196+0j),(107.33217633163798+0j),(107.322449637873-114.4914207368117j),(0.21094005857329481+0j)
(0.10560236260565532+0j),(76.04596967404939+0j),(76.03620902395605-122.29657796421297j),(0.19252711674398845+0j)
(0.10526766013781866+0j),(51.73986871990408+0j),(51.73124564335185-115.93289828340842j),(0.1763640380247542+0j)
(0.10493295766998202+0j),(36.137292988763456+0j),(36.1299319453009-105.55599708276678j),(0.16218345643479098+0j)
(0.10459825520214536+0j),(26.328576029732652+0j),(26.322291509773184-95.3705473310266j),(0.14975471301092946+0j)
(0.10426355273430869+0j),(19.96144687484172+0j),(19.956027047808213-86.44343480091679j),(0.13882723514381082+0j)
(0.10392885026647206+0j),(15.645585188478467+0j),(15.640855690578976-78.83996639008704j),(0.1291698302201348+0j)
(0.10359414779863539+0j),(12.596502203473845+0j),(12.592329547422638-72.3793485933155j),(0.12058572375199403+0j)
(0.10325944533079874+0j),(10.363154222587976+0j),(10.359437389052559-66.8548043049464j),(0.11291230428106408+0j)
(0.10292474286296208+0j),(8.676528526075847+0j),(8.673190452907106-62.08809047866995j),(0.10601622898572037+0j)
(0.10259004039512544+0j),(7.3696801070741635+0j),(7.3666611558824435-57.936708110873994j),(0.0997880158039331+0j)
(0.10225533792728878+0j),(6.335016478630046+0j),(6.332269754898269-54.289133930314016j),(0.09413732443431239+0j)
(0.10192063545945211+0j),(5.500776476897789+0j),(5.4982645289577885-51.05823775730713j),(0.0889891303372348+0j)
(0.10158593299161545+0j),(4.817611899935351+0j),(4.815304381364648-48.17552547122875j),(0.08428070195787322+0j)
(0.10125123052377881+0j),(4.250657505217146+0j),(4.2485295002500285-45.58664755350161j),(0.07995923017830606+0j)
(0.10091652805594215+0j),(3.7746856566843103+0j),(3.772716463180358-43.2480272876415j),(0.0759799680775709+0j)
(0.10058182558810551+0j),(3.371053338485093+0j),(3.3692255699370848-41.12435764014266j),(0.07230476481880754+0j)
(0.10024712312026886+0j),(3.025723837879935+0j),(3.024022750877535-39.18674185606271j),(0.06890090321010629+0j)
(0.0999124206524322+0j),(2.7279517795809087+0j),(2.7263647629141508-37.41130374476578j),(0.06574017185930078+0j)
(0.09957771818459556+0j),(2.4693886986727316+0j),(2.4679048800126635-35.77813995111479j),(0.06279811947378541+0j)
(0.09924301571675889+0j),(2.2434618123025967+0j),(2.2420717516160553-34.27052229989102j),(0.060053451459918805+0j)
(0.09890831324892223+0j),(2.044934280970966+0j),(2.0436297287769434-32.874284373744736j),(0.0574875384356605+0j)
(0.09857361078108556+0j),(1.8695885234378207+0j),(1.8683622281520627-31.577345044186288j),(0.055084013356453264+0j)
(0.09823890831324893+0j),(1.713994538777252+0j),(1.7128400916591915-30.36933479197513j),(0.05282843927631817+0j)
(0.09790420584541226+0j),(1.5753379674912644+0j),(1.5742496767134104-29.241299930527408j),(0.050708033780945495+0j)
