ld,cs,t0
(8+0j),(0.5247597661009883+0j),(-0.005576207377900385-0.07446551745055582j)
(8.009076305220884+0j),(0.5289395127704359+0j),(-0.005607890293656174-0.07467557740058318j)
(8.018152610441767+0j),(0.5331896306924275+0j),(-0.005640159941679379-0.07488890797382249j)
(8.02722891566265+0j),(0.5375116785642937+0j),(-0.005673028551585044-0.07510556103670317j)
(8.036305220883534+0j),(0.5419072594903495+0j),(-0.005706508701195316-0.07532558967335402j)
(8.045381526104418+0j),(0.5463780225160915+0j),(-0.005740613328421419-0.07554904822057634j)
(8.054457831325301+0j),(0.5509256642248437+0j),(-0.005775355743626417-0.07577599230403373j)
(8.063534136546185+0j),(0.5555519303997283+0j),(-0.005810749642490665-0.07600647887570482j)
(8.072610441767068+0j),(0.5602586177540659+0j),(-0.005846809119403785-0.07624056625265214j)
(8.081686746987952+0j),(0.5650475757334533+0j),(-0.005883548681408015-0.07647831415716168j)
(8.090763052208835+0j),(0.5699207083929242+0j),(-0.00592098326271895-0.07671978375830807j)
(8.099839357429719+0j),(0.5748799763528017+0j),(-0.005959128239851308-0.07696503771500612j)
(8.108915662650602+0j),(0.579927398837051+0j),(-0.005997999447378864-0.07721414022061054j)
(8.117991967871486+0j),(0.5850650557981187+0j),(-0.006037613194358984-0.07746715704912815j)
(8.12706827309237+0j),(0.5902950901325169+0j),(-0.00607798628145435-0.07772415560311222j)
(8.136144578313253+0j),(0.595619709991579+0j),(-0.006119136018785699-0.0779852049633089j)
(8.145220883534137+0j),(0.6010411911921313+0j),(-0.006161080244551819-0.07825037594013214j)
(8.15429718875502+0j),(0.6065618797320274+0j),(-0.006203837344454595-0.07851974112704489j)
(8.163373493975904+0j),(0.6121841944158253+0j),(-0.006247426271969451-0.07879337495592988j)
(8.172449799196787+0j),(0.6179106295961406+0j),(-0.006291866569503424-0.0790713537545361j)
(8.18152610441767+0j),(0.6237437580365504+0j),(-0.006337178390485701-0.0793537558060919j)
(8.190602409638554+0j),(0.6296862339022796+0j),(-0.006383382522438233-0.07964066141118156j)
(8.199678714859438+0j),(0.6357407958851966+0j),(-0.006430500411076201-0.07993215295198391j)
(8.208755020080321+0j),(0.6419102704701068+0j),(-0.0064785541854916395-0.08022831495897996j)
(8.217831325301205+0j),(0.6481975753496849+0j),(-0.006527566684476255-0.08052923418024022j)
(8.226907630522089+0j),(0.6546057229958289+0j),(-0.006577561484042746-0.08083499965340746j)
(8.235983935742972+0j),(0.6611378243957139+0j),(-0.00662856292620779-0.08114570278049905j)
(8.245060240963856+0j),(0.667797092961275+0j),(-0.006680596149103183-0.08146143740565699j)
(8.25413654618474+0j),(0.674586848621402+0j),(-0.006733687118485908-0.08178229989598144j)
(8.263212851405623+0j),(0.6815105221066927+0j),(-0.00678786266072219-0.08210838922559231j)
(8.272289156626506+0j),(0.6885716594371611+0j),(-0.006843150497324619-0.08243980706306624j)
(8.28136546184739+0j),(0.6957739266240508+0j),(-0.006899579281127421-0.08277665786241227j)
(8.290441767068273+0j),(0.703121114597448+0j),(-0.006957178634188791-0.0831190489577496j)
(8.299518072289157+0j),(0.7106171443722238+0j),(-0.007015979187515714-0.08346709066186542j)
(8.30859437751004+0j),(0.7182660724655897+0j),(-0.007076012622712417-0.0838208963688389j)
(8.317670682730924+0j),(0.7260720965803587+0j),(-0.007137311715659577-0.08418058266092654j)
(8.326746987951807+0j),(0.7340395615689616+0j),(-0.007199910382338933-0.08454626941991719j)
(8.335823293172691+0j),(0.7421729656941716+0j),(-0.007263843726924442-0.08491807994317384j)
(8.344899598393575+0j),(0.750476967203557+0j),(-0.007329148092269592-0.08529614106459432j)
(8.353975903614458+0j),(0.758956391235761+0j),(-0.007395861112928285-0.08568058328073264j)
(8.363052208835342+0j),(0.7676162370779477+0j),(-0.007464021770856443-0.08607154088234173j)
(8.372128514056225+0j),(0.7764616857949167+0j),(-0.0075336704539499776-0.08646915209160583j)
(8.381204819277109+0j),(0.7854981082519173+0j),(-0.0076048490175866365-0.08687355920535514j)
(8.390281124497992+0j),(0.7947310735544522+0j),(-0.007677600849348478-0.08728490874456227j)
(8.399357429718876+0j),(0.8041663579301677+0j),(-0.007751970937115694-0.08770335161044762j)
(8.40843373493976+0j),(0.8138099540794259+0j),(-0.007828005940733558-0.0881290432475322j)
(8.417510040160643+0j),(0.8236680810231081+0j),(-0.007905754267469284-0.08856214381400032j)
(8.426586345381526+0j),(0.8337471944780832+0j),(-0.007985266151489711-0.08900281835975524j)
(8.43566265060241+0j),(0.8440539977929684+0j),(-0.008066593737607288-0.08945123701257396j)
(8.444738955823293+0j),(0.8545954534790069+0j),(-0.008149791169558608-0.08990757517279171j)
(8.453815261044177+0j),(0.8653787953734227+0j),(-0.008234914683098702-0.09037201371697318j)
(8.46289156626506+0j),(0.876411541475186+0j),(-0.00832202270421384-0.09084473921105388j)
(8.471967871485944+0j),(0.8877015074961077+0j),(-0.008411175952778249-0.09132594413346984j)
(8.481044176706828+0j),(0.8992568211731342+0j),(-0.008502437552002228-0.09181582710881894j)
(8.490120481927711+0j),(0.9110859373911426+0j),(-0.008595873144045186-0.09231459315263578j)
(8.499196787148595+0j),(0.9231976541691834+0j),(-0.00869155101219469-0.09282245392789995j)
(8.508273092369478+0j),(0.9356011295669434+0j),(-0.008789542210041397-0.09333962801393253j)
(8.517349397590362+0j),(0.9483058995724799+0j),(-0.00888992069811201-0.09386634118837961j)
(8.526425702811245+0j),(0.9613218970369424+0j),(-0.008992763488457766-0.09440282672302999j)
(8.535502008032129+0j),(0.9746594717268406+0j),(-0.009098150797732279-0.09494932569425651j)
(8.544578313253012+0j),(0.9883294115699318+0j),(-0.009206166209334293-0.0955060873089271j)
(8.553654618473896+0j),(1.002342965176652+0j),(-0.009316896845235014-0.09607336924668701j)
(8.56273092369478+0j),(1.0167118657253087+0j),(-0.009430433548156966-0.09665143801956991j)
(8.571807228915663+0j),(1.03144835630629+0j),(-0.009546871074824624-0.09724056934996472j)
(8.580883534136547+0j),(1.0465652168280333+0j),(-0.009666308301063306-0.09784104856803254j)
(8.58995983935743+0j),(1.062075792595655+0j),(-0.009788848439584242-0.09845317102973926j)
(8.599036144578314+0j),(1.0779940246821886+0j),(-0.009914599271362064-0.09907724255675655j)
(8.608112449799197+0j),(1.0943344822220171+0j),(-0.010043673391583333-0.099713579899563j)
(8.61718875502008+0j),(1.1111123967667926+0j),(-0.01017618847122542-0.10036251122517571j)
(8.626265060240964+0j),(1.128343698855725+0j),(-0.010312267535412315-0.10102437663104087j)
(8.635341365461848+0j),(1.1460450569647715+0j),(-0.010452039259789034-0.1016995286867194j)
(8.644417670682731+0j),(1.164233919013175+0j),(-0.010595638286260995-0.1023883330051218j)
(8.653493975903615+0j),(1.1829285566210037+0j),(-0.010743205559559309-0.10309116884517493j)
(8.662570281124498+0j),(1.2021481123278805+0j),(-0.01089488868621687-0.10380842974793432j)
(8.671646586345382+0j),(1.2219126500013686+0j),(-0.011050842317677853-0.10454052420830723j)
(8.680722891566266+0j),(1.2422432086836166+0j),(-0.011211228559414676-0.10528787638471603j)
(8.689799196787149+0j),(1.2631618601464776+0j),(-0.011376217408088335-0.10605092684918999j)
(8.698875502008033+0j),(1.2846917704498226+0j),(-0.011545987218972816-0.10683013338057822j)
(8.707951807228916+0j),(1.3068572658241548+0j),(-0.011720725206061985-0.10762597180377034j)
(8.7170281124498+0j),(1.3296839032276968+0j),(-0.011900627977495755-0.10843893687802827j)
(8.726104417670683+0j),(1.3531985459607494+0j),(-0.012085902109187403-0.10926954323778673j)
(8.735180722891567+0j),(1.3774294447550492+0j),(-0.012276764759795738-0.11011832638951782j)
(8.74425702811245+0j),(1.402406324795668+0j),(-0.012473444330484995-0.11098584376856035j)
(8.753333333333334+0j),(1.4281604791759286+0j),(-0.012676181173237114-0.11187267586010617j)
(8.762409638554217+0j),(1.454724869333793+0j),(-0.01288522835184086-0.11277942738887166j)
(8.771485943775101+0j),(1.4821342330714913+0j),(-0.013100852460082413-0.11370672858235595j)
(8.780562248995984+0j),(1.510425200818746+0j),(-0.01332333450210078-0.11465523651297359j)
(8.789638554216868+0j),(1.5396364208652211+0j),(-0.013552970840360725-0.11562563652478224j)
(8.798714859437752+0j),(1.5698086943605354+0j),(-0.013790074217240825-0.11661864375100499j)
