ld,cs,t0
(8+0j),(0.8048421668688145+0j),(-0.007757298625303466-0.0877332487905317j)
(8.009076305220884+0j),(0.814989263004964+0j),(-0.007837305702681105-0.08818096360328474j)
(8.018152610441767+0j),(0.8253737272519734+0j),(-0.007919208317437183-0.08863686849760777j)
(8.02722891566265+0j),(0.8360030740629572+0j),(-0.008003064939466481-0.08910115538555693j)
(8.036305220883534+0j),(0.846885121242863+0j),(-0.008088936379088139-0.08957402239122235j)
(8.045381526104418+0j),(0.85802800482035+0j),(-0.008176885900895945-0.0900556741014117j)
(8.054457831325301+0j),(0.869440194778834+0j),(-0.008266979344150074-0.09054632182851755j)
(8.063534136546185+0j),(0.8811305117039248+0j),(-0.008359285250144125-0.09104618388626097j)
(8.072610441767068+0j),(0.8931081444088118+0j),(-0.008453874997014011-0.09155548587904973j)
(8.081686746987952+0j),(0.9053826686038055+0j),(-0.008550822942490278-0.09207446100573416j)
(8.090763052208835+0j),(0.9179640666814262+0j),(-0.008650206575134767-0.09260335037860272j)
(8.099839357429719+0j),(0.9308627486938548+0j),(-0.00875210667464333-0.09314240335850794j)
(8.108915662650602+0j),(0.9440895746055799+0j),(-0.008856607481841713-0.09369187790707527j)
(8.117991967871486+0j),(0.9576558779107085+0j),(-0.008963796879051996-0.09425204095701638j)
(8.12706827309237+0j),(0.9715734907113865+0j),(-0.009073766581559301-0.09482316880163139j)
(8.136144578313253+0j),(0.9858547703615931+0j),(-0.009186612340967747-0.09540554750466308j)
(8.145220883534137+0j),(1.0005126277889937+0j),(-0.00930243416129792-0.09599947333174613j)
(8.15429718875502+0j),(1.0155605576167488+0j),(-0.009421336528747722-0.09660525320478076j)
(8.163373493975904+0j),(1.0310126702171651+0j),(-0.009543428656113576-0.09722320518065246j)
(8.172449799196787+0j),(1.0468837258401598+0j),(-0.009668824742952768-0.09785365895582461j)
(8.18152610441767+0j),(1.0631891709713677+0j),(-0.009797644252656678-0.09849695639843427j)
(8.190602409638554+0j),(1.07994517708797+0j),(-0.009930012207704801-0.09915345210964485j)
(8.199678714859438+0j),(1.0971686819945685+0j),(-0.010066059504476492-0.09982351401613165j)
(8.208755020080321+0j),(1.1148774339372707+0j),(-0.010205923249116662-0.10050752399571787j)
(8.217831325301205+0j),(1.1330900387113954+0j),(-0.010349747116081547-0.10120587853832753j)
(8.226907630522089+0j),(1.1518260099970945+0j),(-0.010497681731132705-0.1019189894445807j)
(8.235983935742972+0j),(1.1711058231780553+0j),(-0.010649885080704267-0.10264728456453225j)
(8.245060240963856+0j),(1.190950972921435+0j),(-0.010806522949741692-0.10339120857925202j)
(8.25413654618474+0j),(1.2113840348221123+0j),(-0.010967769390297297-0.10415122382813635j)
(8.263212851405623+0j),(1.2324287314424127+0j),(-0.011133807223379333-0.10492781118508077j)
(8.272289156626506+0j),(1.2541100031087762+0j),(-0.011304828576778727-0.10572147098687369j)
(8.28136546184739+0j),(1.2764540838607963+0j),(-0.01148103546185319-0.10653272401744385j)
(8.290441767068273+0j),(1.2994885829853031+0j),(-0.011662640392527873-0.10736211255187954j)
(8.299518072289157+0j),(1.3232425726092756+0j),(-0.011849867050080561-0.10821020146444593j)
(8.30859437751004+0j),(1.3477466818712804+0j),(-0.012042950997624275-0.10907757940517884j)
(8.317670682730924+0j),(1.3730331982414334+0j),(-0.012242140448577413-0.10996486004999378j)
(8.326746987951807+0j),(1.3991361766161665+0j),(-0.012447697093834273-0.1108726834296637j)
(8.335823293172691+0j),(1.426091556876251+0j),(-0.012659896992814827-0.11180171734345652j)
(8.344899598393575+0j),(1.4539372906658348+0j),(-0.01287903153409295-0.1127526588637128j)
(8.353975903614458+0j),(1.4827134782271714+0j),(-0.01310540847187854-0.11372623593816755j)
(8.363052208835342+0j),(1.5124625162116128+0j),(-0.013339353045273273-0.11472320909740466j)
(8.372128514056225+0j),(1.543229257483085+0j),(-0.01358120918793654-0.11574437327546445j)
(8.381204819277109+0j),(1.5750611840370694+0j),(-0.01383134083659808-0.11679055975231872j)
