dl,cs,cs0,cs1,cs2,cs3,cs4,cs5,t0,t1,t2,t3,t4,t5
(0.06042296072507553+0j),(0.0010646975528963473+0j),(0.0006617466772913996-0.27103333641417765j),(0.00040294263860792304-0.36631955143174993j),(8.236982994010709e-09-0.0021381944991470587j),(1.4030592829750524e-14-3.3019093940381598e-06j),(6.657769992479354e-21-2.579073799322778e-09j),(1.1670154786075264e-27-1.1937483156573042e-12j),(-5.961225179216563e-06+0.0024415547593717667j),(-1.2099452783963002e-06+0.0010999744608074877j),(-1.4840274113851877e-11+3.8523076348640235e-06j),(-1.8056008034975774e-17+4.249236170769492e-09j),(-6.663924005725366e-24+2.581457728827913e-12j),(-9.557134301940764e-31+9.776059687798945e-16j)
(0.06114093211580501+0j),(0.0011398227183103534+0j),(0.0007173691359567242-0.27888038837462886j),(0.0004224444533232923-0.3706749340675924j),(9.129014163998044e-09-0.0022245645398275837j),(1.617293870784837e-14-3.5034147806106252e-06j),(8.043237103295869e-21-2.801462141839922e-09j),(1.4779786952801432e-27-1.3276344008512278e-12j),(-6.6167778284278376e-06+0.00257230131335328j),(-1.2988297341804881e-06+0.0011396613739272775j),(-1.6840607014737772e-11+4.103730865255928e-06j),(-2.1310555253476943e-17+4.616335695492361e-09j),(-8.243131474952048e-24+2.871085417564592e-12j),(-1.2393082865561026e-30+1.113242240734739e-15j)
(0.06185890350653448+0j),(0.0012203078698650558+0j),(0.0007776509661848002-0.2869912587061542j),(0.000442646787104179-0.3750307586367745j),(1.0116557464619887e-08-0.002314617775119594j),(1.86117977232353e-14-3.7146772614448932e-06j),(9.695618112401493e-21-3.040093289857872e-09j),(1.866645999788122e-27-1.4747052622766762e-12j),(-7.3422455562977485e-06+0.0027096478826090925j),(-1.393093451496164e-06+0.0011802929766743507j),(-1.9103235852467198e-11+4.370724865751934e-06j),(-2.5103511375062067e-17+5.0103404450258735e-09j),(-1.017131679561566e-23+3.189250193323763e-12j),(-1.602187975312445e-30+1.265775641775605e-15j)
(0.06257687489726396+0j),(0.001306578811924115+0j),(0.0008430012498161206-0.295378304274167j),(0.0004635663500112703-0.3793870540015211j),(1.1212075339952468e-08-0.0024087640353984262j),(2.138409893938894e-14-3.936051298535252e-06j),(1.1662316397297788e-20-3.2959447037304724e-09j),(2.3511787050967875e-27-1.6360833116136939e-12j),(-8.145086742133313e-06+0.0028539482125110953j),(-1.4929942798224462e-06+0.0012218805386741071j),(-2.1666237439900954e-11+4.65470057462685e-06j),(-2.9516197684281664e-17+5.432881158674618e-09j),(-1.2520157880471567e-23+3.5383835123501754e-12j),(-2.0651920745234764e-30+1.4370776160400929e-15j)
(0.06329484628799345+0j),(0.0013991008763272208+0j),(0.000913868382625261-0.3040546418208747j),(0.0004852200629764423-0.38374385014982726j),(1.2430700986647086e-08-0.0025075210387794397j),(2.4530876158709778e-14-4.167900316937118e-06j),(1.399845843038532e-20-3.570040427667417e-09j),(2.9536967684175256e-27-1.8129718879749372e-12j),(-9.033584374478206e-06+0.003005578607994067j),(-1.5987992955453523e-06+0.0012644353440908573j),(-2.4575483369760666e-11+4.957366576031745e-06j),(-3.464108395424787e-17+5.8856676727664354e-09j),(-1.5374965701083402e-23+3.921092411698991e-12j),(-2.6542979752503868e-30+1.6292016373826741e-15j)
(0.06401281767872292+0j),(0.0014983831708752832+0j),(0.0009907443206049432-0.3130342080540084j),(0.0005076250590505129-0.3881011782300252j),(1.3791191729267802e-08-0.002611554413564637j),(2.8097671573160066e-14-4.410596868196623e-06j),(1.6768041576935272e-20-3.863452744967221e-09j),(3.701080849034561e-27-2.0066600639153128e-12j),(-1.001694372158091e-05+0.003164939712288275j),(-1.710785027115904e-06+0.0013079686924122058j),(-2.7887233574300312e-11+5.280836446390156e-06j),(-4.058316690395743e-17+6.370491888697248e-09j),(-1.8837075352120802e-23+4.340169968114245e-12j),(-3.401805895074487e-30+1.844398518507995e-15j)
(0.0647307890694524+0j),(0.00160498334894433+0j),(0.001074169346835156-0.32233182551124334j),(0.000530798684719336-0.3924590705865346j),(1.531735770311928e-08-0.0027217369624395198j),(3.2134974276954194e-14-4.6645227993785045e-06j),(2.004523648080939e-20-4.177303873040966e-09j),(4.625924851851946e-27-2.218527677258998e-12j),(-1.1105402694845752e-05+0.003332458456586779j),(-1.8292376836949852e-06+0.0013524918992676009j),(-3.167199399523394e-11+5.627787664280772e-06j),(-4.74615014297252e-17+6.889230830051001e-09j),(-2.3026621959737432e-23+4.798606251792017e-12j),(-4.347778839297463e-30+2.085132810949332e-15j)
(0.06544876046018186+0j),(0.0017195129729073802+0j),(0.0011647374313091495-0.3319632748587471j),(0.0005547585012914078-0.3968175607968124j),(1.7040270124083864e-08-0.002839238901329488j),(3.669869628793021e-14-4.930069428185743e-06j),(2.391586276092321e-20-4.512767698802377e-09j),(5.767664991426006e-27-2.4500505966311854e-12j),(-1.2310356737403209e-05+0.003508590200140251j),(-1.9544533873551127e-06+0.0013980162972823563j),(-3.602044520770756e-11+6.001703525367618e-06j),(-5.541089972701865e-17+7.4438497920779304e-09j),(-2.8085757962426243e-23+5.299599792666069e-12j),(-5.541788504718295e-30+2.354100359950334e-15j)
(0.06616673185091135+0j),(0.0018426435556294974+0j),(0.001263102267429232-0.3419453743694294j),(0.000579522286360433-0.40117668370956905j),(1.9001797981639193e-08-0.0029656697623603686j),(4.1850688906395824e-14-5.207637724715101e-06j),(2.847905876237511e-20-4.871071555010064e-09j),(7.173915543995162e-27-2.7028062287667803e-12j),(-1.364450036452002e-05+0.0036938210828530694j),(-2.086738408913886e-06+0.0014445532369686826j),(-4.105289748465087e-11+6.407253505439403e-06j),(-6.458381476007164e-17+8.036405587081305e-09j),(-3.418237582221437e-23+5.846569577300382e-12j),(-7.045027568533542e-30+2.6542470812894454e-15j)
(0.06688470324164084+0j),(0.0019751133781213503+0j),(0.0013699840822156517-0.35229606742683983j),(0.0006051080353464196-0.4055364754843058j),(2.126051161969185e-08-0.003103310110064461j),(4.765930243512094e-14-5.4976385004469175e-06j),(3.38491683194629e-20-5.253498038157044e-09j),(8.902046186261335e-27-2.9784792758541743e-12j),(-1.5121987829796746e-05+0.003888670615426411j),(-2.226409407478156e-06+0.0014921140876552658j),(-4.693502678487679e-11+6.850914302680621e-06j),(-7.515242598761964e-17+8.669049889556505e-09j),(-4.151440865630969e-23+6.443167594926404e-12j),(-8.932859866863913e-30+2.988789030169897e-15j)
