% Model,one_golden_water_nopml.mph
% Version,COMSOL 6.0.0.318
% Date,"Aug 30 2023, 19:31"
% Table,Table 1 - Global Evaluation 1
% f (Hz),Fx1 (N),Fy1 (N),Fz1 (N),ecs (m^2),scs (m^2)
100,1.4964436970916228E-11,1.5024767486444584E-11,-2.1224014736971186E-11,0.07591920066885094,0.07519298127573755
119.11764705882354,2.7916350820585222E-11,2.7820053109688555E-11,-3.946682650185634E-11,0.14112722112217124,0.1402822470742268
138.23529411764707,4.596147984205365E-11,4.5999942297096394E-11,-6.501981675637931E-11,0.233953637175786,0.2329068180488749
157.35294117647058,6.908492930057379E-11,6.914599980021134E-11,-9.782642391339061E-11,0.35357292909012716,0.35375941657257587
176.47058823529412,9.693102162564837E-11,9.704920166478018E-11,-1.3708278952859528E-10,0.500900071800999,0.5003020352685996
195.58823529411765,1.276423041084542E-10,1.2765602675186517E-10,-1.805425954638574E-10,0.6674316813433769,0.6666876281188884
214.70588235294116,1.5912216681074188E-10,1.5922552025717224E-10,-2.2514441731610332E-10,0.8460622053325667,0.845042308065569
233.8235294117647,1.893377819533478E-10,1.8928830161687056E-10,-2.6769795620215017E-10,1.0269058878491912,1.0257121213499458
252.94117647058823,2.1616591678193715E-10,2.1623524336268646E-10,-3.0570945315946697E-10,1.202573801924696,1.2020848109740998
272.05882352941177,2.384910609445733E-10,2.3845745515860956E-10,-3.37311285017061E-10,1.3678342342607406,1.3680398951268775
291.1764705882353,2.5546354746639413E-10,2.554159147037751E-10,-3.614000600049973E-10,1.5194818556844927,1.5194003332387673
310.2941176470588,2.671812501571324E-10,2.6720883154198167E-10,-3.779957994461002E-10,1.6579651615816722,1.657561130662225
329.4117647058823,2.749163608016112E-10,2.749057938599162E-10,-3.8869725444634655E-10,1.787236411986436,1.7868537938710107
348.52941176470586,2.8050044338914256E-10,2.8042176563729366E-10,-3.9672177081991867E-10,1.9166239466236106,1.916056928311485
367.6470588235294,2.853872769242472E-10,2.8547336744097803E-10,-4.035684123567161E-10,2.0497135568151315,2.050225857491284
386.7647058823529,2.915164943576608E-10,2.91520118981878E-10,-4.124016797310458E-10,2.1970274484922703,2.1991164572820394
405.88235294117646,3.023772475297357E-10,3.0236230505282247E-10,-4.275699600934526E-10,2.377101118232946,2.378025691926712
425,3.208992477903175E-10,3.2097427358340956E-10,-4.5370591906687327E-10,2.610252366731697,2.613182013721162
444.11764705882354,3.5475359887484494E-10,3.547671821381301E-10,-5.017109260098399E-10,2.957038221384641,2.959809754757465
463.2352941176471,4.3077200972822853E-10,4.3062068711432163E-10,-6.091639568789095E-10,3.627157749497916,3.6329772736787675
482.3529411764706,7.330409219903287E-10,7.332631086780359E-10,-1.0367767286254598E-9,6.0856833461807005,6.093533075681345
501.4705882352941,1.1523915795043678E-9,1.15315700973886E-9,-1.6301371703169631E-9,9.310550782188393,9.320251580008682
520.5882352941176,2.5122179113632463E-10,2.513186803083352E-10,-3.553718145428424E-10,2.3055006459509957,2.3072115834762914
539.7058823529412,2.462352933918721E-10,2.461982635710935E-10,-3.4815255538976853E-10,2.3322837601428805,2.3340505039866852
558.8235294117646,2.627514738909848E-10,2.6267540700962565E-10,-3.7155536703916413E-10,2.5212872278764564,2.525110274209592
577.9411764705883,2.7880557730173296E-10,2.7882848255111115E-10,-3.942567846075426E-10,2.7074694928520433,2.712021951226502
597.0588235294117,2.9409563302988123E-10,2.9423170428242854E-10,-4.159638675397452E-10,2.8910445963897153,2.896418240322734
616.1764705882352,3.0993679845853143E-10,3.099727713404235E-10,-4.38229539646128E-10,3.0810201860211928,3.0875702820684667
635.2941176470588,3.277327240694728E-10,3.2787887465925914E-10,-4.6369174547423293E-10,3.2893036479648408,3.2965104762809827
654.4117647058823,3.502649198578884E-10,3.5034552704227916E-10,-4.953738916295493E-10,3.535589190647287,3.5445964952640976
673.5294117647059,3.828666372954541E-10,3.8305631872078934E-10,-5.415460682268242E-10,3.8663565897409917,3.8765428322520368
692.6470588235294,4.375282310165421E-10,4.378662186218422E-10,-6.189930849788741E-10,4.375839334792138,4.389673488377476
711.7647058823529,5.515350648401591E-10,5.518285532406007E-10,-7.801149442596102E-10,5.316935927816877,5.333220681176666
730.8823529411765,9.405812149882555E-10,9.403959013015754E-10,-1.3298455870457554E-9,8.539137600889092,8.566478951817096
750,9.936494429152285E-10,9.939985772472765E-10,-1.4054082811664946E-9,8.230450152158367,8.249443741731259
