ka,cs,fx,fy,fz
0.5,0.11072237908414462,2.1910839523781354e-11,2.19108395237813e-11,-3.0986747471322e-11
0.5268456375838926,0.1331155724065104,2.6311876149332003e-11,2.6311876149331958e-11,-3.7210781487908315e-11
0.5536912751677853,0.15819375464687283,3.1228108557287946e-11,3.12281085572879e-11,-4.416341568388767e-11
0.5805369127516778,0.18601410050987693,3.6666017668063034e-11,3.6666017668062996e-11,-5.1853815506528086e-11
0.6073825503355704,0.21660519343205992,4.262557118264132e-11,4.2625571182641274e-11,-6.028193527791492e-11
0.6342281879194631,0.24996561859820193,4.909989316054497e-11,4.909989316054493e-11,-6.943805090550591e-11
0.6610738255033557,0.2860630282801162,5.6075040471459954e-11,5.607504047145989e-11,-7.930244373554805e-11
0.6879194630872483,0.3248337251429457,6.352989788948111e-11,6.352989788948109e-11,-8.984525219326194e-11
0.714765100671141,0.366182806304894,7.143620274110984e-11,7.143620274110979e-11,-1.0102650664053226e-10
0.7416107382550335,0.40998490525073406,7.975870844301339e-11,7.975870844301332e-11,-1.1279636065427827e-10
0.7684563758389262,0.45608555983381377,8.845549389797627e-11,8.845549389797622e-11,-1.25095528580396e-10
0.7953020134228188,0.5043032224618209,9.747842254153867e-11,9.747842254153863e-11,-1.3785593472669478e-10
0.8221476510067114,0.5544319133655566,1.0677375090195181e-10,1.0677375090195177e-10,-1.5100157400055815e-10
0.848993288590604,0.6062445001571246,1.1628288198307755e-10,1.1628288198307751e-10,-1.6444957735810786e-10
0.8758389261744967,0.6594965676031247,1.2594325381070777e-10,1.2594325381070774e-10,-1.7811146840417912e-10
0.9026845637583892,0.7139308219056496,1.356893483730849e-10,1.3568934837308488e-10,-1.918945902561841e-10
0.9295302013422819,0.7692819553137593,1.4545380126561435e-10,1.454538012656143e-10,-2.0570367482585706e-10
0.9563758389261745,0.8252818813045156,1.551685879799478e-10,1.5516858797994775e-10,-2.194425204930017e-10
0.9832214765100671,0.8816652397326052,1.6476625932855033e-10,1.647662593285503e-10,-2.3301573926762233e-10
1.0100671140939599,0.9381750671795603,1.7418119631969464e-10,1.7418119631969456e-10,-2.4633053145923847e-10
1.0369127516778525,0.9945685322214478,1.8335085420862607e-10,1.8335085420862597e-10,-2.5929844503892296e-10
1.063758389261745,1.0506226505887841,1.922169667147103e-10,1.9221696671471026e-10,-2.7183707866727755e-10
1.0906040268456376,1.1061399236753668,2.007266847390938e-10,2.007266847390937e-10,-2.838716920917211e-10
1.1174496644295302,1.1609538888411768,2.0883362956838885e-10,2.088336295683888e-10,-2.9533669560820677e-10
1.1442953020134228,1.214934636411134,2.1649884881142697e-10,2.1649884881142694e-10,-3.061770019660962e-10
1.1711409395973154,1.2679944443971864,2.2369167472028812e-10,2.2369167472028807e-10,-3.163492402229258e-10
1.197986577181208,1.3200938219782858,2.303905001194715e-10,2.3039050011947142e-10,-3.2582285307895887e-10
1.2248322147651005,1.3712484619397092,2.3658350890763805e-10,2.36583508907638e-10,-3.3458112996735973e-10
1.2516778523489933,1.4215379264547383,2.4226942987423554e-10,2.4226942987423554e-10,-3.426222731167412e-10
1.278523489932886,1.4711174147967763,2.4745843187838136e-10,2.474584318783813e-10,-3.499606635310444e-10
1.3053691275167785,1.5202348477802348,2.521733599645484e-10,2.521733599645483e-10,-3.5662860912906345e-10
1.3322147651006713,1.5692570713834573,2.5645165534452627e-10,2.564516553445262e-10,-3.626790600213358e-10
1.3590604026845639,1.6187118878918056,2.603485693132513e-10,2.603485693132513e-10,-3.681901536941862e-10
1.3859060402684564,1.6693582858924596,2.639428081456948e-10,2.639428081456948e-10,-3.732731981358045e-10
1.412751677852349,1.7223089095494009,2.67346849563307e-10,2.6734684956330694e-10,-3.780872615894199e-10
1.4395973154362416,1.779254451433829,2.70726641706717e-10,2.7072664170671693e-10,-3.8286703123447323e-10
1.4664429530201342,1.8429004860798537,2.743413751321376e-10,2.7434137513213753e-10,-3.8797905953937144e-10
1.4932885906040267,1.9178856797325297,2.7862993247850996e-10,2.786299324785099e-10,-3.940440231097581e-10
1.5201342281879195,2.0129141182195345,2.844183234308072e-10,2.8441832343080717e-10,-4.0223008136231633e-10
1.5469798657718121,2.1464160904608214,2.934893447053118e-10,2.934893447053117e-10,-4.1505850106914604e-10
1.5738255033557047,2.3646981968147402,3.1047795702356097e-10,3.1047795702356097e-10,-4.390841363818604e-10
1.6006711409395973,2.8196205027827657,3.5133842978233873e-10,3.5133842978233873e-10,-4.968698341667791e-10
1.6275167785234899,4.322614071933158,5.071732898510224e-10,5.071732898510224e-10,-7.17254609973113e-10
1.6543624161073824,18.914888457560508,2.3108189582403403e-09,2.3108189582403403e-09,-3.2680063871226547e-09
1.6812080536912752,4.230255225601157,6.812973914877039e-10,6.812973914877039e-10,-9.635043969897408e-10
1.7080536912751678,2.0211468738652396,3.370200363381043e-10,3.3702003633810427e-10,-4.766204757900739e-10
1.7348993288590604,1.8099852469627273,2.8617540104212057e-10,2.8617540104212057e-10,-4.047149756617878e-10
1.761744966442953,1.7977022712956159,2.710475880685749e-10,2.710475880685749e-10,-3.8332091999833994e-10
1.7885906040268456,1.8244779565576679,2.649752061685668e-10,2.649752061685668e-10,-3.747332360677103e-10
1.8154362416107381,1.860908849333859,2.6216427007684244e-10,2.621642700768424e-10,-3.707579540280722e-10
1.842281879194631,1.899612774518627,2.6082295318242453e-10,2.6082295318242453e-10,-3.688610368496484e-10
1.8691275167785235,1.938483112643617,2.602692326833739e-10,2.6026923268337386e-10,-3.680779542454809e-10
1.895973154362416,1.9769373985284917,2.602047067422765e-10,2.602047067422765e-10,-3.6798670036906226e-10
1.9228187919463087,2.014874041233917,2.6048416668404993e-10,2.6048416668404993e-10,-3.6838191820791697e-10
1.9496644295302012,2.0523413884578887,2.6102983125391947e-10,2.6102983125391947e-10,-3.6915360795591797e-10
1.9765100671140938,2.089425309684553,2.617955638366533e-10,2.617955638366533e-10,-3.702365222890718e-10
2.0033557046979866,2.126211181488721,2.6275067329850277e-10,2.6275067329850277e-10,-3.7158725719220867e-10
2.030201342281879,2.162772978440131,2.6387217850081737e-10,2.6387217850081737e-10,-3.7317331227942597e-10
2.057046979865772,2.199172581368408,2.6514103193739727e-10,2.6514103193739727e-10,-3.7496775018650597e-10
2.0838926174496644,2.2354629111698694,2.6654032026920285e-10,2.6654032026920285e-10,-3.769466517311119e-10
2.110738255033557,2.271692388557564,2.6805450699211347e-10,2.680545069921134e-10,-3.7908804487838657e-10
2.1375838926174495,2.3079097452613957,2.6966924975134463e-10,2.696692497513446e-10,-3.813716463833465e-10
2.1644295302013425,2.344168838195674,2.713715468362687e-10,2.7137154683626865e-10,-3.837790689667879e-10
2.1912751677852347,2.3805333896011134,2.731500794591943e-10,2.731500794591943e-10,-3.8629430537278183e-10
2.2181208053691277,2.417081707127674,2.7499567690692723e-10,2.7499567690692723e-10,-3.8890438619531467e-10
2.24496644295302,2.4539115172650012,2.769018672822811e-10,2.7690186728228114e-10,-3.9160015874794764e-10
2.271812080536913,2.491145113685058,2.788655003574043e-10,2.788655003574043e-10,-3.943771679154484e-10
2.2986577181208054,2.52893510061556,2.8088744796939744e-10,2.8088744796939744e-10,-3.972366466672812e-10
2.325503355704698,2.5674711166581337,2.8297340567893095e-10,2.8297340567893095e-10,-4.001866497792576e-10
2.3523489932885906,2.6069880746534526,2.851348404838107e-10,2.8513484048381073e-10,-4.032433941090147e-10
2.379194630872483,2.6477766739697106,2.873901568979316e-10,2.8739015689793153e-10,-4.064329076881926e-10
2.4060402684563758,2.6901972732680592,2.8976619268071153e-10,2.8976619268071153e-10,-4.097931450129158e-10
2.4328859060402683,2.7346987205262314,2.923002137288626e-10,2.9230021372886265e-10,-4.1337680825963203e-10
2.4597315436241614,2.781844534489415,2.950426680872554e-10,2.950426680872554e-10,-4.1725524206235835e-10
2.4865771812080535,2.8323501109404887,2.980611041541847e-10,2.980611041541847e-10,-4.21523974716931e-10
2.513422818791946,2.887136731727071,3.014458981352317e-10,3.0144589813523175e-10,-4.2631081806080744e-10
2.540268456375839,2.9474117134620292,3.05318844904328e-10,3.0531884490432804e-10,-4.317880168405988e-10
2.5671140939597317,3.0147902368745663,3.0984638667297925e-10,3.0984638667297925e-10,-4.3819095696066065e-10
2.5939597315436242,3.091485583777738,3.1526056717765743e-10,3.1526056717765743e-10,-4.458477993139866e-10
2.620805369127517,3.180615452188528,3.2189328893404366e-10,3.218932889340437e-10,-4.552279270763032e-10
2.6476510067114094,3.286712930116964,3.30234382349935e-10,3.30234382349935e-10,-4.670240682069253e-10
2.674496644295302,3.41661452811401,3.410342564146765e-10,3.4103425641467654e-10,-4.822974661067639e-10
2.7013422818791946,3.5810788940059157,3.5549448033246005e-10,3.554944803324601e-10,-5.027474039757717e-10
2.728187919463087,3.7979058793239493,3.7564257356504073e-10,3.7564257356504073e-10,-5.312412403871518e-10
2.7550335570469797,4.098344804649018,4.051203422620314e-10,4.051203422620314e-10,-5.7292929043381e-10
2.7818791946308723,4.541240069739575,4.5097476153190603e-10,4.509747615319061e-10,-6.377775272536522e-10
